genome	top_class	top_p	0	1	2
Rhizophlyctis_rosea	0.0	1.0	1.0	3.650259534870968e-18	4.1490441304858905e-08
Pyronema_omphalodes	2.0	0.9934872388839722	4.3537212945921056e-08	0.006512708030641079	0.9934872388839722
Paramicrosporidium_saccamoebae	0.0	0.999997615814209	0.999997615814209	8.862130584930128e-08	2.3195832454803167e-06
Candida_hispaniensis	2.0	1.0	1.1811750362522577e-11	6.325848265348322e-12	1.0
Tulasnella_calospora	0.0	0.9999996423721313	0.9999996423721313	3.859158340655845e-14	3.730875732799177e-07
Candida_castellii	2.0	1.0	1.7278081092600428e-12	1.2729523164722867e-11	1.0
Piptocephalis_cylindrospora	0.0	1.0	1.0	9.289711426280881e-17	1.0863928194254388e-30
Middelhovenomyces_tepae	2.0	0.9992307424545288	8.193957665159068e-12	0.0007692603394389153	0.9992307424545288
Catenaria_anguillulae	0.0	1.0	1.0	9.610239286603628e-22	2.8574753321994563e-22
Saitoella_complicata	2.0	0.9999903440475464	9.613745532988105e-06	3.0557101089772254e-15	0.9999903440475464
Candida_succiphila	2.0	1.0	1.4057169368272094e-19	5.327434861612595e-24	1.0
Ascoidea_asiatica	2.0	1.0	6.198907537096758e-19	2.1115472982208842e-23	1.0
Zoopage_sp._CTAll	0.0	0.9999998807907104	0.9999998807907104	8.51535853811243e-17	6.058971990796636e-08
Clavaria_fumosa	2.0	0.9908947944641113	0.009104126133024693	1.0603098417050205e-06	0.9908947944641113
Babjeviella_inositovora	2.0	1.0	5.2740916742372837e-17	1.7186223325615685e-15	1.0
Blyttiomyces_helicus	0.0	1.0	1.0	4.5850111263234794e-08	4.948240706070806e-10
Arthonia_radiata	2.0	1.0	8.518245563886363e-18	2.0970357205276138e-14	1.0
Zoophagus_insidians	2.0	0.9894441962242126	0.010555815882980824	2.64039068387234e-10	0.9894441962242126
