sp1	sp2	true	method	dist	clade	portion
G000964615	G001914775	282.70471481999994	us	279.70975	10	backbone
G000164905	G000522425	224.95690022	us	227.45541	10	backbone
G001797495	G000214095	200.91141716	us	200.79836	10	backbone
G001770165	G000020385	210.74632559	us	212.80489	10	backbone
G000306885	G000702665	295.84468251	us	295.56445	10	backbone
G001790645	G001643955	238.48179032	us	237.6461	10	backbone
G000012665	G001548055	252.6770174	us	252.55762	10	backbone
G000736415	G000403075	251.89627111	us	255.28163	10	backbone
G001798855	G001748245	208.92915487	us	213.74545	10	backbone
G001179945	G000226295	249.73077754	us	245.7701	10	backbone
G000017585	G001917825	275.38794312999994	us	276.4923	10	backbone
G001803535	G000478445	261.86025056999995	us	262.39252	10	backbone
G000711735	G001805205	206.22860114	us	206.5262	10	backbone
G001627975	G000472805	245.99743047	us	249.704	10	backbone
G001303745	G001803605	96.52657206	us	94.359695	10	backbone
G001724505	G000007025	263.13871515	us	262.67764	10	backbone
G001468845	G000309075	324.67723699	us	331.50037	10	backbone
G000830175	G001798155	244.79166617999996	us	246.01706	10	backbone
G001795535	G000703085	214.46165824	us	210.29126	10	backbone
G000422205	G001805205	198.49719929000003	us	198.22205	10	backbone
G000964785	G000371825	212.58685426	us	213.89171	10	backbone
G001725305	G000964785	309.9368135699999	us	312.0146	10	backbone
G000023445	G000212675	93.73287399	us	93.12277	10	backbone
G001857665	G001443525	225.09919148	us	229.71217	10	backbone
G001468885	G001897445	310.58475143000004	us	303.08517	10	backbone
G001874005	G000421065	236.73264642	us	237.5181	10	backbone
G001304365	G001975945	223.23247226	us	230.61105	10	backbone
G000242615	G001798805	212.27655832999997	us	212.31099	10	backbone
G001468865	G000495505	300.17852689	us	295.80197	10	backbone
G000007025	G001795535	256.12298586	us	254.71188	10	backbone
G000970895	G000964795	163.45766522999998	us	170.19133	10	backbone
G001184205	G002002505	213.94655857	us	215.76678	10	backbone
G000429925	G001798475	200.22637268	us	199.13077	10	backbone
G000737315	G000262365	215.74745171	us	215.38171	10	backbone
G000017505	G000175575	204.8129694	us	207.35735	10	backbone
G000522465	G000183725	114.66332735	us	114.43982	10	backbone
G001771315	G001797515	254.06454139	us	255.0251	10	backbone
G001790695	G001968985	199.25256481	us	191.43156	10	backbone
G000022565	G000619805	229.72619741	us	229.19365	10	backbone
G001725305	G001790865	216.97057535	us	215.99635	10	backbone
G000621005	G001829755	154.37436479	us	155.58025	10	backbone
G001803535	G000274085	260.00716991	us	261.0619	10	backbone
G000789415	G000789415	0.0	us	0.0	10	backbone
G000519265	G000512675	325.1569984	us	329.0571	10	backbone
G001781965	G000711295	249.1476975	us	255.45912	10	backbone
G001803685	G001769935	230.24289649	us	227.34744	10	backbone
G000621145	G000483025	206.81336779000003	us	206.94113	10	backbone
G000404705	G001637495	301.450976	us	293.63287	10	backbone
G000376585	G000519125	275.32216308	us	271.26144	10	backbone
G000526455	G001548275	221.28728985	us	220.63118	10	backbone
G001920795	G000423825	185.77617924	us	186.12389	10	backbone
G000179915	G000237285	303.83064679999995	us	305.83456	10	backbone
G000429945	G001920375	226.51028612	us	229.4044	10	backbone
G001027285	G000512235	198.94302483	us	191.95465	10	backbone
G000172475	G900142115	310.66019568	us	311.56747	10	backbone
G000620965	G001803645	271.69118402	us	275.04764	10	backbone
G000744435	G000172475	278.47989969	us	279.12323	10	backbone
G001803955	G001273775	157.2477305	us	155.40443	10	backbone
G900104045	G001304105	188.36392073	us	187.20169	10	backbone
G900115615	G001184205	240.11345504	us	237.79504	10	backbone
G900114975	G001464715	211.32530802	us	219.36403	10	backbone
G001547735	G000388175	261.48458418	us	270.2256	10	backbone
G000020305	G001797505	271.72304271	us	270.38644	10	backbone
G001918335	G000381585	182.74134853	us	180.70819	10	backbone
G000186245	G000404705	245.81242909	us	247.67686	10	backbone
G900000025	G000688615	301.98916374999993	us	301.92694	10	backbone
G000373985	G001672295	228.29460072	us	231.71097	10	backbone
G000025725	G001006305	224.88797681	us	221.43169	10	backbone
G001443525	G000429965	174.48198599	us	177.20374	10	backbone
G001830855	G000218625	226.11543634999995	us	222.29037	10	backbone
G000185805	G000384395	210.13164919	us	211.6295	10	backbone
G000213355	G001654785	296.35007123	us	299.49017	10	backbone
G001797895	G001683985	148.42040295	us	153.02937	10	backbone
G001705645	G001593535	261.73268965	us	264.10535	10	backbone
G001655195	G001652585	253.44880618	us	248.12312	10	backbone
G000429905	G000736415	261.73717664	us	262.5778	10	backbone
G000022145	G001803945	191.44002337	us	191.37659	10	backbone
G001180045	G001803925	255.63410441	us	245.4553	10	backbone
G000331715	G000317895	287.12351985000004	us	286.11002	10	backbone
G000420465	G000274085	332.0036786900001	us	334.00162	10	backbone
G001798605	G001443445	194.47721161	us	200.61331	10	backbone
G900105625	G000147355	267.95544793	us	266.50446	10	backbone
G001006305	G000381625	129.14902095	us	120.39226	10	backbone
G001751165	G000092245	270.86326059	D2star	209.41443139381263	10	queries
G000980755	G000964745	322.64434004	D2star	212.47616558496685	10	queries
G000714715	G000423845	240.16874477	D2star	230.27346105231692	10	queries
G000013125	G000025945	309.65657211	D2star	219.9659830551037	10	queries
G002002665	G001907975	248.21259264	D2star	225.04827644001668	10	queries
G001769835	G001830745	266.51246301	D2star	182.7076748026068	10	queries
G001798315	G001798755	182.08083177	D2star	98.16009413501963	10	queries
G000745975	G001769915	255.31330506000003	D2star	136.0332208577887	10	queries
G000714715	G000816185	271.30200379	D2star	279.1716114492877	10	queries
G000717475	G000691605	238.47670998	D2star	120.37311472114592	10	queries
G001795545	G001803535	164.45991415999998	D2star	192.70079209956785	10	queries
G001263205	G000255295	160.7651584	D2star	184.09333351575785	10	queries
G001044505	G001797585	192.8832732	D2star	204.05716894430563	10	queries
G001044505	G001829695	273.17184661999994	D2star	256.2140117107213	10	queries
G000745975	G000702425	272.84990784000007	D2star	265.07326780873825	10	queries
G001751165	G000165485	223.14057065	D2star	268.5072915761125	10	queries
G001769835	G000008385	275.42282017	D2star	297.1735889450576	10	queries
G000429305	G000210915	254.08874447	D2star	291.56607375136946	10	queries
G000745975	G000183725	288.14057602	D2star	212.531777305896	10	queries
G000695975	G000753945	226.31723215	D2star	138.41911816265133	10	queries
G000405625	G000178975	217.43521577	D2star	240.04335908054853	10	queries
G000429305	G000701705	118.60133826	D2star	96.40909731076468	10	queries
G000762875	G000737315	269.51793324999994	D2star	395.4951115477744	10	queries
G000714715	G000341545	178.96979459	D2star	229.47172540892188	10	queries
G001044505	G000398305	234.69235285	D2star	123.28423383478372	10	queries
G001803785	G001805085	138.10242924	D2star	132.55594352969172	10	queries
G000224765	G000965005	261.93958701	D2star	230.38391210916237	10	queries
G002002665	G000964585	293.86370235999993	D2star	376.8451030261774	10	queries
G001830135	G000143965	199.28123121	D2star	305.63352199140274	10	queries
G001798315	G000964585	274.43118259	D2star	274.61453987315	10	queries
G002002665	G000010665	241.82885879	D2star	203.99151621820877	10	queries
G000020785	G001298465	235.00967987	D2star	176.13004403271037	10	queries
G001830805	G000495495	322.92105482	D2star	222.1966309723725	10	queries
G001803785	G001273775	165.72266865	D2star	233.61325384811687	10	queries
G000487995	G000816185	239.39139591	D2star	179.64594061145257	10	queries
G000745975	G000021485	255.96251098000005	D2star	116.20609757652504	10	queries
G000020785	G000196175	254.38510709	D2star	247.98579416824757	10	queries
G000283915	G001803925	245.50832939	D2star	271.86175968715764	10	queries
G001830135	G002011815	72.72735426	D2star	64.97449481706789	10	queries
G000745975	G001705755	254.77273417000004	D2star	78.94469978397649	10	queries
G001803785	G001803715	76.7586976	D2star	64.40748697909456	10	queries
G000980755	G001752665	305.34911829	D2star	196.84463769380156	10	queries
G001263205	G001751085	212.67368448	D2star	356.4278775950545	10	queries
G001795545	G001772305	270.65844442	D2star	338.6861938486336	10	queries
G000487995	G000964785	287.30628139	D2star	173.64450906118307	10	queries
G000487995	G000447775	263.88015963	D2star	290.4615631829157	10	queries
G001044505	G001769855	256.69922868	D2star	92.85612625140304	10	queries
G000012965	G000730245	286.25848374	D2star	234.1670539023696	10	queries
G000762875	G000185805	233.79536403	D2star	372.0192414655488	10	queries
G000487995	G000010325	206.76455194	D2star	245.73506424064328	10	queries
G001263205	G001468865	281.84682394	D2star	344.6018906624707	10	queries
G001795545	G000965125	275.73376172	D2star	328.0187844354068	10	queries
G000487995	G001805125	222.99028404	D2star	157.4097484749392	10	queries
G001751165	G001000065	299.88608322000005	D2star	118.03356051705757	10	queries
G000714715	G900142115	230.49668773	D2star	200.9359611071577	10	queries
G000714715	G000016745	187.38575518	D2star	151.91191195308352	10	queries
G000224765	G000379345	236.94317071	D2star	160.57189271777102	10	queries
G000013125	G000341395	297.31001841999995	D2star	218.30303812231995	10	queries
G000487995	G000020725	211.78400730999996	D2star	279.89224666632776	10	queries
G001756595	G001797585	202.21932034	D2star	173.7456914978736	10	queries
G001798315	G000226295	197.03826569	D2star	256.43259666937337	10	queries
G001751165	G000703085	234.44911075	D2star	140.13767481636427	10	queries
G001803785	G000585155	261.82092527	D2star	218.69232016882387	10	queries
G000013125	G000632845	96.39705618	D2star	108.73481734669788	10	queries
G000405625	G000991965	283.52549782999995	D2star	156.6860237178475	10	queries
G002002665	G000021545	229.33519813	D2star	268.6524999585386	10	queries
G000224765	G001627895	105.28898908	D2star	94.26495651494122	10	queries
G000429305	G000215525	299.34059048999995	D2star	229.0276040265017	10	queries
G001830135	G000404605	256.18739779	D2star	139.73757937967963	10	queries
G001830805	G001830855	268.0550926099999	D2star	263.3516216149737	10	queries
G001263205	G000632985	291.99634335	D2star	333.12656652574555	10	queries
G000429305	G001830775	281.01177447	D2star	215.49310144537264	10	queries
G002002665	G000196175	240.23494499	D2star	166.43970166080803	10	queries
G000020785	G000187625	278.42889848	D2star	178.51130702749558	10	queries
G001830135	G001919385	201.40830967	D2star	379.8651284266348	10	queries
G001830805	G001871315	35.27523335000001	D2star	75.74439972150716	10	queries
G001830805	G000177635	222.32250564	D2star	272.0818894158355	10	queries
G001468855	G001797935	257.1176915699999	D2star	200.19601626479505	10	queries
G001803525	G000753945	185.72635847	D2star	198.21330393666867	10	queries
G001468855	G001798975	264.60705922999995	D2star	276.7038413330572	10	queries
G001803785	G000022145	202.79825933	D2star	350.13834643497154	10	queries
G001830135	G000372225	192.20133859	D2star	173.53096846428608	10	queries
G000429305	G000375745	227.74408777	D2star	147.57728726066233	10	queries
G001830135	G000522425	202.6057209	D2star	277.1819476560452	10	queries
G000012965	G001803615	269.29533883999994	D2star	250.88301035165307	10	queries
G001803785	G001805235	157.45643181000003	D2star	75.60637451970109	10	queries
G000405625	G000711735	249.0240253	D2star	107.77474277565732	10	queries
G000429305	G000404605	271.57088921	D2star	205.8684117995672	10	queries
G000745975	G000734015	228.82255769	D2star	238.4908652046101	10	queries
G001751165	G900129975	209.22888377	D2star	135.93203842109818	10	queries
G000717475	G000816445	207.19727963	D2star	131.2699224832054	10	queries
G001756595	G000744415	169.58818969	D2star	165.88512922154243	10	queries
G001263205	G000371825	254.58290798	D2star	376.40638833884753	10	queries
G000695975	G001627765	242.1598817	D2star	167.44302979257122	10	queries
G001751165	G001803535	190.08678041	D2star	159.87674620615678	10	queries
G001751165	G000092245	270.86326059	us	221.54259	10	queries
G000980755	G000964745	322.64434004	us	328.84995	10	queries
G000714715	G000423845	240.16874477	us	221.58086	10	queries
G000013125	G000025945	309.65657211	us	309.4	10	queries
G002002665	G001907975	248.21259264	us	251.31491	10	queries
G001769835	G001830745	266.51246301	us	254.84859	10	queries
G001798315	G001798755	182.08083177	us	172.93872	10	queries
G000745975	G001769915	255.31330506000003	us	254.96677	10	queries
G000714715	G000816185	271.30200379	us	273.73657	10	queries
G000717475	G000691605	238.47670998	us	233.56906	10	queries
G001795545	G001803535	164.45991415999998	us	167.16678	10	queries
G001263205	G000255295	160.7651584	us	196.25443	10	queries
G001044505	G001797585	192.8832732	us	174.99754	10	queries
G001044505	G001829695	273.17184661999994	us	249.60052	10	queries
G000745975	G000702425	272.84990784000007	us	275.98	10	queries
G001751165	G000165485	223.14057065	us	178.50792	10	queries
G001769835	G000008385	275.42282017	us	251.27043	10	queries
G000429305	G000210915	254.08874447	us	236.77582	10	queries
G000745975	G000183725	288.14057602	us	296.50546	10	queries
G000695975	G000753945	226.31723215	us	230.83932	10	queries
G000405625	G000178975	217.43521577	us	220.7779	10	queries
G000429305	G000701705	118.60133826	us	141.43141	10	queries
G000762875	G000737315	269.51793324999994	us	378.26083	10	queries
G000714715	G000341545	178.96979459	us	211.68138	10	queries
G001044505	G000398305	234.69235285	us	211.37383	10	queries
G001803785	G001805085	138.10242924	us	126.143456	10	queries
G000224765	G000965005	261.93958701	us	230.17471	10	queries
G002002665	G000964585	293.86370235999993	us	296.4471	10	queries
G001830135	G000143965	199.28123121	us	192.60585	10	queries
G001798315	G000964585	274.43118259	us	273.7273	10	queries
G002002665	G000010665	241.82885879	us	250.00832	10	queries
G000020785	G001298465	235.00967987	us	191.40611	10	queries
G001830805	G000495495	322.92105482	us	326.4397	10	queries
G001803785	G001273775	165.72266865	us	146.89336	10	queries
G000487995	G000816185	239.39139591	us	345.5284	10	queries
G000745975	G000021485	255.96251098000005	us	266.3549	10	queries
G000020785	G000196175	254.38510709	us	263.5301	10	queries
G000283915	G001803925	245.50832939	us	246.3588	10	queries
G001830135	G002011815	72.72735426	us	59.559612	10	queries
G000745975	G001705755	254.77273417000004	us	262.51956	10	queries
G001803785	G001803715	76.7586976	us	72.667816	10	queries
G000980755	G001752665	305.34911829	us	322.60458	10	queries
G001263205	G001751085	212.67368448	us	256.83838	10	queries
G001795545	G001772305	270.65844442	us	270.7059	10	queries
G000487995	G000964785	287.30628139	us	385.284	10	queries
G000487995	G000447775	263.88015963	us	397.27707	10	queries
G001044505	G001769855	256.69922868	us	219.81937	10	queries
G000012965	G000730245	286.25848374	us	281.03912	10	queries
G000762875	G000185805	233.79536403	us	342.26624	10	queries
G000487995	G000010325	206.76455194	us	326.98828	10	queries
G001263205	G001468865	281.84682394	us	299.32318	10	queries
G001795545	G000965125	275.73376172	us	275.39072	10	queries
G000487995	G001805125	222.99028404	us	336.26572	10	queries
G001751165	G001000065	299.88608322000005	us	247.21083	10	queries
G000714715	G900142115	230.49668773	us	223.79378	10	queries
G000714715	G000016745	187.38575518	us	160.42503	10	queries
G000224765	G000379345	236.94317071	us	204.23544	10	queries
G000013125	G000341395	297.31001841999995	us	297.11633	10	queries
G000487995	G000020725	211.78400730999996	us	312.59448	10	queries
G001756595	G001797585	202.21932034	us	205.71149	10	queries
G001798315	G000226295	197.03826569	us	197.53177	10	queries
G001751165	G000703085	234.44911075	us	194.15611	10	queries
G001803785	G000585155	261.82092527	us	243.90688	10	queries
G000013125	G000632845	96.39705618	us	96.44966	10	queries
G000405625	G000991965	283.52549782999995	us	295.50122	10	queries
G002002665	G000021545	229.33519813	us	234.17715	10	queries
G000224765	G001627895	105.28898908	us	159.13162	10	queries
G000429305	G000215525	299.34059048999995	us	281.2056	10	queries
G001830135	G000404605	256.18739779	us	246.96735	10	queries
G001830805	G001830855	268.0550926099999	us	264.3221	10	queries
G001263205	G000632985	291.99634335	us	325.4479	10	queries
G000429305	G001830775	281.01177447	us	242.93828	10	queries
G002002665	G000196175	240.23494499	us	242.48694	10	queries
G000020785	G000187625	278.42889848	us	229.4923	10	queries
G001830135	G001919385	201.40830967	us	194.28934	10	queries
G001830805	G001871315	35.27523335000001	us	35.246155	10	queries
G001830805	G000177635	222.32250564	us	225.34317	10	queries
G001468855	G001797935	257.1176915699999	us	244.11479	10	queries
G001803525	G000753945	185.72635847	us	176.30457	10	queries
G001468855	G001798975	264.60705922999995	us	248.2939	10	queries
G001803785	G000022145	202.79825933	us	175.93251	10	queries
G001830135	G000372225	192.20133859	us	188.98514	10	queries
G000429305	G000375745	227.74408777	us	202.60165	10	queries
G001830135	G000522425	202.6057209	us	191.57614	10	queries
G000012965	G001803615	269.29533883999994	us	267.85004	10	queries
G001803785	G001805235	157.45643181000003	us	153.76941	10	queries
G000405625	G000711735	249.0240253	us	265.5187	10	queries
G000429305	G000404605	271.57088921	us	241.41353	10	queries
G000745975	G000734015	228.82255769	us	234.68506	10	queries
G001751165	G900129975	209.22888377	us	163.99051	10	queries
G000717475	G000816445	207.19727963	us	202.55643	10	queries
G001756595	G000744415	169.58818969	us	172.17776	10	queries
G001263205	G000371825	254.58290798	us	272.57028	10	queries
G000695975	G001627765	242.1598817	us	242.39449	10	queries
G001751165	G001803535	190.08678041	us	149.08987	10	queries
G001805575	G001485645	209.18903013	D2star	214.92074464763763	11	backbone
G000724545	G000382225	154.33460917	D2star	272.36041489796366	11	backbone
G001828445	G001642875	209.90829895	D2star	387.2031287955549	11	backbone
G001803075	G001464625	214.62125867	D2star	102.16158501053606	11	backbone
G000953475	G000687395	256.37650508	D2star	112.91981723689165	11	backbone
G001577025	G000700865	272.17532693	D2star	276.20870548775343	11	backbone
G000007205	G000687415	43.75707252	D2star	37.453615109604605	11	backbone
G002010615	G001803025	234.23803161000004	D2star	349.2637949839944	11	backbone
G000429465	G000830965	307.72508582	D2star	157.28295777166372	11	backbone
G000174995	G000980735	281.97233522	D2star	236.3073511440418	11	backbone
G001796255	G900111145	292.58875148000004	D2star	188.9158564743671	11	backbone
G000146065	G900109365	244.38980849	D2star	178.1742727039483	11	backbone
G001828545	G001604605	220.40582642000004	D2star	291.88156190665023	11	backbone
G900129735	G000397885	232.19775457	D2star	211.4287310148953	11	backbone
G001642955	G001829035	307.88054527	D2star	313.5969754078061	11	backbone
G001872105	G000020145	240.15131461	D2star	140.815137581785	11	backbone
G001897535	G000373245	142.34131814	D2star	267.11198916388975	11	backbone
G000832545	G001773465	237.38488491	D2star	154.38446159306807	11	backbone
G001006065	G001304335	248.68279654	D2star	301.28793951093826	11	backbone
G001940945	G000173075	137.96186539	D2star	225.89374195557787	11	backbone
G000723745	G000246855	301.66659895	D2star	184.7121213503269	11	backbone
G900100765	G001626755	229.60519213	D2star	208.62180134395203	11	backbone
G900142465	G000007605	284.70296844	D2star	223.07599078827565	11	backbone
G900142545	G001802795	234.94566563	D2star	206.39257309401543	11	backbone
G900103125	G001825715	272.97793143	D2star	145.46255405654077	11	backbone
G001873185	G001773425	181.78387545	D2star	199.58501946146083	11	backbone
G000010305	G001603055	239.32677134	D2star	180.66737898048305	11	backbone
G000346615	G000011165	299.10755700999994	D2star	222.81294518447436	11	backbone
G000583875	G000700865	59.49863393999999	D2star	56.172722753536135	11	backbone
G001802795	G001919105	142.93992086	D2star	248.82199547172905	11	backbone
G000417845	G001897535	294.20968573	D2star	248.88942171827304	11	backbone
G000695095	G001805895	239.56973727	D2star	326.6851590425158	11	backbone
G000346615	G001442925	192.52031435	D2star	231.66159951487973	11	backbone
G001828535	G001483135	261.52605196	D2star	298.7373960614216	11	backbone
G000212735	G001536045	204.18668852	D2star	161.30605714878973	11	backbone
G000296795	G900116565	255.22682453	D2star	135.50344771515122	11	backbone
G000346425	G000378105	274.63654011000006	D2star	226.81606641447615	11	backbone
G000258405	G001746835	224.01724281000003	D2star	267.1253079286392	11	backbone
G000346295	G000011165	283.52387332	D2star	380.1774803902283	11	backbone
G001800315	G001799575	171.03779269	D2star	70.38001559631711	11	backbone
G000279145	G000270445	261.49614063	D2star	322.33907962021607	11	backbone
G001773465	G001577135	220.80145109	D2star	129.40595072830084	11	backbone
G000429425	G900089545	170.38427141999998	D2star	218.98546516460564	11	backbone
G000375825	G002011615	242.17024198	D2star	138.94385113448948	11	backbone
G000330745	G001536045	261.3017226	D2star	248.76372587595029	11	backbone
G001780805	G001805375	219.80734682	D2star	133.77866768009946	11	backbone
G000375425	G000374065	196.85216371	D2star	164.46676650838987	11	backbone
G001623405	G001805605	264.38216826	D2star	215.1255206556602	11	backbone
G000783305	G001683795	293.32278268	D2star	201.5561966443771	11	backbone
G001796275	G001604625	244.78986094	D2star	145.02553208819992	11	backbone
G001804125	G001804065	139.31661566	D2star	123.7446432869944	11	backbone
G001625515	G001439115	299.01619133	D2star	291.11989504754195	11	backbone
G001804885	G900089565	285.19694044	D2star	177.47170786341565	11	backbone
G000382685	G000427965	289.8316969	D2star	138.91138664541273	11	backbone
G002000245	G900107465	145.83510191	D2star	75.75871549809648	11	backbone
G001872735	G001940945	204.78993166000004	D2star	175.95919564155798	11	backbone
G001799925	G001808025	271.76368006	D2star	249.4171777714694	11	backbone
G900110645	G000181475	283.56435014	D2star	173.57929886539344	11	backbone
G001746835	G001304015	211.41812974	D2star	173.52602380639573	11	backbone
G000508025	G900142605	300.09113649999995	D2star	322.1118281966788	11	backbone
