genome count pl_error ratio cond
G004554205 10183 1 0.1267 depp
G004554955 10183 0 0.1266 depp
G004556255 10183 0 0.1266 depp
G004556875 10183 1 0.1267 depp
G004558485 10183 2 0.1268 depp
G004569275 10183 1 0.1267 depp
G005524015 10183 0 0.1266 depp
G005792865 10183 2 0.1268 depp
G005843805 10183 2 0.1268 depp
G006352045 10183 1 0.1267 depp
G006383075 10183 2 0.1268 depp
G007116535 10183 5 0.1271 depp
G007117355 10183 1 0.1267 depp
G007119345 10183 4 0.127 depp
G007121575 10183 1 0.1267 depp
G007127385 10183 0 0.1266 depp
G007280515 10183 1 0.1267 depp
G007692455 10183 1 0.1267 depp
G007692495 10183 1 0.1267 depp
G007692565 10183 0 0.1266 depp
G007692705 10183 1 0.1267 depp
G007693335 10183 1 0.1267 depp
G008123405 10183 1 0.1267 depp
G008501705 10183 1 0.1267 depp
G008671995 10183 0 0.1266 depp
G008709555 10183 1 0.1267 depp
G009377475 10183 0 0.1266 depp
G009379765 10183 0 0.1266 depp
G009379865 10183 0 0.1266 depp
G009663185 10183 0 0.1266 depp
G009691145 10183 0 0.1266 depp
G009738435 10183 0 0.1266 depp
G009774895 10183 1 0.1267 depp
G009775605 10183 1 0.1267 depp
G009776495 10183 0 0.1266 depp
G009777005 10183 0 0.1266 depp
G009780245 10183 1 0.1267 depp
G009781075 10183 1 0.1267 depp
G009784005 10183 1 0.1267 depp
G009784145 10183 0 0.1266 depp
G009903905 10183 0 0.1266 depp
G009904025 10183 0 0.1266 depp
G009936195 10183 1 0.1267 depp
G010365115 10183 1 0.1267 depp
G010912745 10183 0 0.1266 depp
G011048475 10183 2 0.1268 depp
G011056635 10183 3 0.1269 depp
G011174705 10183 4 0.127 depp
G011390805 10183 1 0.1267 depp
G011390885 10183 0 0.1266 depp
G011390935 10183 0 0.1266 depp
G011391755 10183 0 0.1266 depp
G011524525 10183 2 0.1268 depp
G011524565 10183 0 0.1266 depp
G011620585 10183 0 0.1266 depp
G011620665 10183 1 0.1267 depp
G011620695 10183 1 0.1267 depp
G011620785 10183 0 0.1266 depp
G012026795 10183 0 0.1266 depp
G012026835 10183 1 0.1267 depp
G012026935 10183 0 0.1266 depp
G012269805 10183 0 0.1266 depp
G012511175 10183 1 0.1267 depp
G012512495 10183 1 0.1267 depp
G012515855 10183 1 0.1267 depp
G012517405 10183 2 0.1268 depp
G012518255 10183 0 0.1266 depp
G012518815 10183 0 0.1266 depp
G012520595 10183 1 0.1267 depp
G012521175 10183 0 0.1266 depp
G012521395 10183 0 0.1266 depp
G012522315 10183 1 0.1267 depp
G012523595 10183 1 0.1267 depp
G012524135 10183 1 0.1267 depp
G012718885 10183 0 0.1266 depp
G012719175 10183 1 0.1267 depp
G012727825 10183 2 0.1268 depp
G012728895 10183 1 0.1267 depp
G012729135 10183 2 0.1268 depp
G012735355 10183 0 0.1266 depp
G012799495 10183 1 0.1267 depp
G012837155 10183 0 0.1266 depp
G012838205 10183 1 0.1267 depp
G012838755 10183 2 0.1268 depp
G012838985 10183 0 0.1266 depp
G012839395 10183 1 0.1267 depp
G012840175 10183 0 0.1266 depp
G012840975 10183 0 0.1266 depp
G012842745 10183 1 0.1267 depp
G012955525 10183 0 0.1266 depp
G012961725 10183 1 0.1267 depp
G012964435 10183 0 0.1266 depp
G013002175 10183 0 0.1266 depp
G013041805 10183 0 0.1266 depp
G013042925 10183 0 0.1266 depp
G013330315 10183 1 0.1267 depp
G013331015 10183 1 0.1267 depp
G013331265 10183 0 0.1266 depp
G013331275 10183 0 0.1266 depp
G900016675 10183 0 0.1266 depp
G900066445 10183 1 0.1267 depp
G900066505 10183 1 0.1267 depp
G900066695 10183 0 0.1266 depp
G900066755 10183 1 0.1267 depp
G900066835 10183 0 0.1266 depp
G900066925 10183 1 0.1267 depp
G900078385 10183 0 0.1266 depp
G900079725 10183 0 0.1266 depp
G900170005 10183 0 0.1266 depp
G900538365 10183 0 0.1266 depp
G900538385 10183 0 0.1266 depp
G900538475 10183 1 0.1267 depp
G900538805 10183 0 0.1266 depp
G900538925 10183 0 0.1266 depp
G900539295 10183 0 0.1266 depp
G900539315 10183 0 0.1266 depp
G900539325 10183 1 0.1267 depp
G900539375 10183 1 0.1267 depp
G900539525 10183 2 0.1268 depp
G900539705 10183 0 0.1266 depp
G900539755 10183 1 0.1267 depp
G900539835 10183 0 0.1266 depp
G900539945 10183 0 0.1266 depp
G900540005 10183 0 0.1266 depp
G900540375 10183 2 0.1268 depp
G900540455 10183 0 0.1266 depp
G900540665 10183 1 0.1267 depp
G900540685 10183 1 0.1267 depp
G900540735 10183 1 0.1267 depp
G900541275 10183 0 0.1266 depp
G900541415 10183 0 0.1266 depp
G900541585 10183 0 0.1266 depp
G900541775 10183 1 0.1267 depp
G900541895 10183 0 0.1266 depp
G900541915 10183 0 0.1266 depp
G900542505 10183 1 0.1267 depp
G900542525 10183 0 0.1266 depp
G900542795 10183 1 0.1267 depp
G900542835 10183 0 0.1266 depp
G900542875 10183 1 0.1267 depp
G900543155 10183 1 0.1267 depp
G900543315 10183 0 0.1266 depp
G900543365 10183 1 0.1267 depp
G900543425 10183 0 0.1266 depp
G900543445 10183 3 0.1269 depp
G900543485 10183 1 0.1267 depp
G900543715 10183 1 0.1267 depp
G900544025 10183 0 0.1266 depp
G900544075 10183 1 0.1267 depp
G900544175 10183 1 0.1267 depp
G900544195 10183 1 0.1267 depp
G900544275 10183 0 0.1266 depp
G900544285 10183 0 0.1266 depp
G900544365 10183 0 0.1266 depp
G900544475 10183 1 0.1267 depp
G900544795 10183 0 0.1266 depp
G900544885 10183 0 0.1266 depp
G900544955 10183 1 0.1267 depp
G900545025 10183 0 0.1266 depp
G900545315 10183 1 0.1267 depp
G900545365 10183 3 0.1269 depp
G900545535 10183 0 0.1266 depp
G900545725 10183 0 0.1266 depp
G900545775 10183 0 0.1266 depp
G900546005 10183 1 0.1267 depp
G900546095 10183 2 0.1268 depp
G900546355 10183 0 0.1266 depp
G900546435 10183 3 0.1269 depp
G900546665 10183 1 0.1267 depp
G900546675 10183 0 0.1266 depp
G900547815 10183 0 0.1266 depp
G900548215 10183 0 0.1266 depp
G900548315 10183 1 0.1267 depp
G900548345 10183 0 0.1266 depp
G900548415 10183 0 0.1266 depp
G900548535 10183 1 0.1267 depp
G900548585 10183 5 0.1271 depp
G900548635 10183 1 0.1267 depp
G900548825 10183 2 0.1268 depp
G900549585 10183 1 0.1267 depp
G900549875 10183 0 0.1266 depp
G900549895 10183 3 0.1269 depp
G900550175 10183 1 0.1267 depp
G900550345 10183 1 0.1267 depp
G900550455 10183 1 0.1267 depp
G900550635 10183 0 0.1266 depp
G900550755 10183 0 0.1266 depp
G900550815 10183 1 0.1267 depp
G900550865 10183 1 0.1267 depp
G900551055 10183 1 0.1267 depp
G900551225 10183 0 0.1266 depp
G900551435 10183 1 0.1267 depp
G900551465 10183 1 0.1267 depp
G900551665 10183 0 0.1266 depp
G900551745 10183 0 0.1266 depp
G900551755 10183 1 0.1267 depp
G900552005 10183 1 0.1267 depp
G900552075 10183 0 0.1266 depp
G900552415 10183 1 0.1267 depp
G900552445 10183 1 0.1267 depp
G900552565 10183 0 0.1266 depp
G900552675 10183 1 0.1267 depp
G900552795 10183 0 0.1266 depp
G900552865 10183 0 0.1266 depp
G900552885 10183 0 0.1266 depp
G900553015 10183 0 0.1266 depp
G900553515 10183 1 0.1267 depp
G900553595 10183 0 0.1266 depp
G900553605 10183 0 0.1266 depp
G900553655 10183 0 0.1266 depp
G900553755 10183 0 0.1266 depp
G900553865 10183 0 0.1266 depp
G900553965 10183 3 0.1269 depp
G900554215 10183 1 0.1267 depp
G900554545 10183 1 0.1267 depp
G900554555 10183 0 0.1266 depp
G900554815 10183 1 0.1267 depp
G900554975 10183 0 0.1266 depp
G900555125 10183 3 0.1269 depp
G900555455 10183 0 0.1266 depp
G900555465 10183 2 0.1268 depp
G900555495 10183 1 0.1267 depp
G900555585 10183 1 0.1267 depp
G900555625 10183 2 0.1268 depp
G900555725 10183 1 0.1267 depp
G900556285 10183 0 0.1266 depp
G900556485 10183 1 0.1267 depp
G900556555 10183 1 0.1267 depp
G900556675 10183 0 0.1266 depp
G900556785 10183 1 0.1267 depp
G900556915 10183 0 0.1266 depp
G900556925 10183 0 0.1266 depp
G900557045 10183 0 0.1266 depp
G900557275 10183 1 0.1267 depp
G900557315 10183 2 0.1268 depp
G900557435 10183 1 0.1267 depp
G900618065 10183 0 0.1266 depp
G902168085 10183 1 0.1267 depp
G902168105 10183 1 0.1267 depp
G902168205 10183 1 0.1267 depp
G902373285 10183 0 0.1266 depp
G902373375 10183 1 0.1267 depp
G902373425 10183 0 0.1266 depp
G902373435 10183 0 0.1266 depp
G902388365 10183 1 0.1267 depp
G902388455 10183 1 0.1267 depp
G902388705 10183 0 0.1266 depp
G902406195 10183 0 0.1266 depp
G902510995 10183 0 0.1266 depp
G902519215 10183 0 0.1266 depp
G902519845 10183 0 0.1266 depp
G902521955 10183 0 0.1266 depp
G902526805 10183 1 0.1267 depp
G902527555 10183 1 0.1267 depp
G902529115 10183 1 0.1267 depp
G902555055 10183 0 0.1266 depp
G902584065 10183 1 0.1267 depp
G902605755 10183 2 0.1268 depp
G902610815 10183 0 0.1266 depp
G902613625 10183 1 0.1267 depp
G902619825 10183 0 0.1266 depp
G902626505 10183 1 0.1267 depp
G000183865 10183 2 0.1268 depp_380
G000286355 10183 0 0.1266 depp_380
G000340945 10183 0 0.1266 depp_380
G000445185 10183 2 0.1268 depp_380
G000508305 10183 4 0.127 depp_380
G000523715 10183 1 0.1267 depp_380
G000690595 10183 0 0.1266 depp_380
G000715615 10183 0 0.1266 depp_380
G000715635 10183 1 0.1267 depp_380
G000715685 10183 1 0.1267 depp_380
G000715915 10183 0 0.1266 depp_380
G000720845 10183 0 0.1266 depp_380
G000741495 10183 0 0.1266 depp_380
G000753835 10183 0 0.1266 depp_380
G001311865 10183 2 0.1268 depp_380
G001312405 10183 1 0.1267 depp_380
G001312425 10183 0 0.1266 depp_380
G001312525 10183 1 0.1267 depp_380
G001465115 10183 0 0.1266 depp_380
G001517445 10183 0 0.1266 depp_380
G001622165 10183 0 0.1266 depp_380
G001700545 10183 2 0.1268 depp_380
G001896575 10183 1 0.1267 depp_380
G001897105 10183 3 0.1269 depp_380
G001897945 10183 0 0.1266 depp_380
G001898175 10183 1 0.1267 depp_380
G001898185 10183 1 0.1267 depp_380
G001898255 10183 1 0.1267 depp_380
G001898325 10183 1 0.1267 depp_380
G001898785 10183 1 0.1267 depp_380
G001898805 10183 0 0.1266 depp_380
G001899645 10183 0 0.1266 depp_380
G001938995 10183 1 0.1267 depp_380
G001940925 10183 1 0.1267 depp_380
G002009475 10183 1 0.1267 depp_380
G002067065 10183 1 0.1267 depp_380
G002067205 10183 0 0.1266 depp_380
G002067265 10183 0 0.1266 depp_380
G002067275 10183 1 0.1267 depp_380
G002067325 10183 1 0.1267 depp_380
G002067515 10183 2 0.1268 depp_380
G002067705 10183 0 0.1266 depp_380
G002102225 10183 1 0.1267 depp_380
G002159075 10183 0 0.1266 depp_380
G002162835 10183 0 0.1266 depp_380
G002167805 10183 1 0.1267 depp_380
G002189105 10183 0 0.1266 depp_380
G002257455 10183 0 0.1266 depp_380
G002279095 10183 1 0.1267 depp_380
G002293535 10183 2 0.1268 depp_380
G002296885 10183 1 0.1267 depp_380
G002297185 10183 0 0.1266 depp_380
G002299275 10183 1 0.1267 depp_380
G002299545 10183 1 0.1267 depp_380
G002299885 10183 1 0.1267 depp_380
G002305965 10183 1 0.1267 depp_380
G002306375 10183 1 0.1267 depp_380
G002307035 10183 3 0.1269 depp_380
G002307115 10183 0 0.1266 depp_380
G002307215 10183 2 0.1268 depp_380
G002308155 10183 0 0.1266 depp_380
G002308595 10183 1 0.1267 depp_380
G002309375 10183 2 0.1268 depp_380
G002310155 10183 1 0.1267 depp_380
G002314325 10183 1 0.1267 depp_380
G002315655 10183 3 0.1269 depp_380
G002316595 10183 2 0.1268 depp_380
G002320935 10183 1 0.1267 depp_380
G002331325 10183 1 0.1267 depp_380
G002333205 10183 1 0.1267 depp_380
G002336855 10183 1 0.1267 depp_380
G002351535 10183 2 0.1268 depp_380
G002353485 10183 1 0.1267 depp_380
G002354335 10183 2 0.1268 depp_380
G002358895 10183 0 0.1266 depp_380
G002362175 10183 1 0.1267 depp_380
G002363695 10183 1 0.1267 depp_380
G002365025 10183 1 0.1267 depp_380
G002365865 10183 0 0.1266 depp_380
G002367105 10183 0 0.1266 depp_380
G002368715 10183 1 0.1267 depp_380
G002368735 10183 4 0.127 depp_380
G002370555 10183 0 0.1266 depp_380
G002371375 10183 1 0.1267 depp_380
G002372175 10183 0 0.1266 depp_380
G002372235 10183 0 0.1266 depp_380
G002373045 10183 1 0.1267 depp_380
G002373775 10183 0 0.1266 depp_380
G002382495 10183 1 0.1267 depp_380
G002383405 10183 1 0.1267 depp_380
G002387895 10183 0 0.1266 depp_380
G002391065 10183 1 0.1267 depp_380
G002393705 10183 1 0.1267 depp_380
G002393725 10183 1 0.1267 depp_380
G002393815 10183 1 0.1267 depp_380
G002394605 10183 1 0.1267 depp_380
G002395405 10183 2 0.1268 depp_380
G002397275 10183 1 0.1267 depp_380
G002399615 10183 1 0.1267 depp_380
G002399805 10183 1 0.1267 depp_380
G002402575 10183 0 0.1266 depp_380
G002407785 10183 2 0.1268 depp_380
G002407845 10183 1 0.1267 depp_380
G002409995 10183 0 0.1266 depp_380
G002410825 10183 0 0.1266 depp_380
G002414845 10183 0 0.1266 depp_380
G002417895 10183 0 0.1266 depp_380
G002418355 10183 0 0.1266 depp_380
G002419145 10183 1 0.1267 depp_380
G002419365 10183 1 0.1267 depp_380
G002420705 10183 0 0.1266 depp_380
G002421335 10183 0 0.1266 depp_380
G002423705 10183 1 0.1267 depp_380
G002427745 10183 1 0.1267 depp_380
G002427885 10183 1 0.1267 depp_380
G002428305 10183 0 0.1266 depp_380
G002432345 10183 1 0.1267 depp_380
G002434245 10183 1 0.1267 depp_380
G002434285 10183 1 0.1267 depp_380
G002437115 10183 1 0.1267 depp_380
G002437815 10183 0 0.1266 depp_380
G002438345 10183 0 0.1266 depp_380
G002439165 10183 0 0.1266 depp_380
G002439665 10183 2 0.1268 depp_380
G002439705 10183 1 0.1267 depp_380
G002440555 10183 0 0.1266 depp_380
G002448495 10183 1 0.1267 depp_380
G002449585 10183 1 0.1267 depp_380
G002449845 10183 2 0.1268 depp_380
G002449935 10183 4 0.127 depp_380
G002455205 10183 1 0.1267 depp_380
G002455655 10183 0 0.1266 depp_380
G002455915 10183 1 0.1267 depp_380
G002455975 10183 0 0.1266 depp_380
G002456035 10183 0 0.1266 depp_380
G002471185 10183 1 0.1267 depp_380
G002471195 10183 1 0.1267 depp_380
G002472835 10183 0 0.1266 depp_380
G002473265 10183 1 0.1267 depp_380
G002476975 10183 0 0.1266 depp_380
G002482385 10183 0 0.1266 depp_380
G002483315 10183 0 0.1266 depp_380
G002493395 10183 1 0.1267 depp_380
G002494895 10183 0 0.1266 depp_380
G002495065 10183 1 0.1267 depp_380
G002495845 10183 1 0.1267 depp_380
G002496065 10183 1 0.1267 depp_380
G002496475 10183 0 0.1266 depp_380
G002497345 10183 0 0.1266 depp_380
G002497485 10183 1 0.1267 depp_380
G002498065 10183 0 0.1266 depp_380
G002498285 10183 1 0.1267 depp_380
G002498315 10183 0 0.1266 depp_380
G002498745 10183 0 0.1266 depp_380
G002499455 10183 0 0.1266 depp_380
G002501655 10183 2 0.1268 depp_380
G002501695 10183 0 0.1266 depp_380
G002501765 10183 0 0.1266 depp_380
G002501965 10183 2 0.1268 depp_380
G002502735 10183 1 0.1267 depp_380
G002502785 10183 0 0.1266 depp_380
G002502855 10183 1 0.1267 depp_380
G002503545 10183 1 0.1267 depp_380
G002505485 10183 1 0.1267 depp_380
G002505535 10183 1 0.1267 depp_380
G002505725 10183 1 0.1267 depp_380
G002505765 10183 0 0.1266 depp_380
G002506515 10183 0 0.1266 depp_380
G002506585 10183 1 0.1267 depp_380
G002506645 10183 1 0.1267 depp_380
G002507205 10183 0 0.1266 depp_380
G002508315 10183 0 0.1266 depp_380
G002508465 10183 0 0.1266 depp_380
G002508495 10183 1 0.1267 depp_380
G002508545 10183 1 0.1267 depp_380
G002508635 10183 0 0.1266 depp_380
G002509345 10183 1 0.1267 depp_380
G002509485 10183 2 0.1268 depp_380
G002551355 10183 0 0.1266 depp_380
G002631855 10183 1 0.1267 depp_380
G002684355 10183 1 0.1267 depp_380
G002702685 10183 1 0.1267 depp_380
G002705185 10183 0 0.1266 depp_380
G002712845 10183 1 0.1267 depp_380
G002720745 10183 1 0.1267 depp_380
G002763895 10183 1 0.1267 depp_380
G002784125 10183 0 0.1266 depp_380
G002786355 10183 1 0.1267 depp_380
G002855745 10183 1 0.1267 depp_380
G002902575 10183 1 0.1267 depp_380
G002973635 10183 1 0.1267 depp_380
G003050565 10183 1 0.1267 depp_380
G003086555 10183 0 0.1266 depp_380
G003136075 10183 1 0.1267 depp_380
G003141335 10183 1 0.1267 depp_380
G003161815 10183 1 0.1267 depp_380
G003241175 10183 2 0.1268 depp_380
G003243515 10183 0 0.1266 depp_380
G003248755 10183 1 0.1267 depp_380
G003250325 10183 1 0.1267 depp_380
G003251955 10183 0 0.1266 depp_380
G003266065 10183 0 0.1266 depp_380
G003266105 10183 0 0.1266 depp_380
G003266145 10183 0 0.1266 depp_380
G003315655 10183 0 0.1266 depp_380
G003315675 10183 0 0.1266 depp_380
G003388715 10183 0 0.1266 depp_380
G003446315 10183 1 0.1267 depp_380
G003488415 10183 0 0.1266 depp_380
G003491305 10183 3 0.1269 depp_380
G003513495 10183 1 0.1267 depp_380
G003513765 10183 0 0.1266 depp_380
G003514505 10183 1 0.1267 depp_380
G003521145 10183 1 0.1267 depp_380
G003523705 10183 0 0.1266 depp_380
G003525665 10183 0 0.1266 depp_380
G003526525 10183 0 0.1266 depp_380
G003526945 10183 1 0.1267 depp_380
G003535195 10183 1 0.1267 depp_380
G003535875 10183 0 0.1266 depp_380
G003539755 10183 1 0.1267 depp_380
G003551945 10183 0 0.1266 depp_380
G003569145 10183 2 0.1268 depp_380
G003605065 10183 3 0.1269 depp_380
G003639005 10183 0 0.1266 depp_380
G003712105 10183 0 0.1266 depp_380
G003712165 10183 1 0.1267 depp_380
G003857025 10183 0 0.1266 depp_380
G003864475 10183 5 0.1271 depp_380
G004000035 10183 2 0.1268 depp_380
G004143605 10183 2 0.1268 depp_380
G004193205 10183 0 0.1266 depp_380
G004210715 10183 1 0.1267 depp_380
G004295885 10183 1 0.1267 depp_380
G004298145 10183 1 0.1267 depp_380
G004554205 10183 1 0.1267 depp_380
G004554955 10183 0 0.1266 depp_380
G004556255 10183 0 0.1266 depp_380
G004556875 10183 1 0.1267 depp_380
G004558485 10183 2 0.1268 depp_380
G004569275 10183 1 0.1267 depp_380
G005524015 10183 0 0.1266 depp_380
G005792865 10183 2 0.1268 depp_380
G005843805 10183 2 0.1268 depp_380
G006352045 10183 1 0.1267 depp_380
G006383075 10183 2 0.1268 depp_380
G007116535 10183 5 0.1271 depp_380
G007117355 10183 1 0.1267 depp_380
G007119345 10183 4 0.127 depp_380
G007121575 10183 1 0.1267 depp_380
G007127385 10183 0 0.1266 depp_380
