genome count pl_error ratio neighbor dist
G009776495 10183 4 0.1268 G009777005 11.79727463
G009777005 10183 2 0.1268 G009776495 11.79727463
G009784145 10183 0 0.1266 G000513315 20.84754723
G009903905 10183 0 0.1266 G001189275 2.23883
G009904025 10183 2 0.1266 G000264495 21.88100343
G011391755 10183 0 0.1266 G002067705 12.599924
G011620785 10183 1 0.1267 G001603225 2.06662652
G012026795 10183 0 0.1266 G001317315 5.560578769999999
G012026835 10183 1 0.1267 G001317315 28.48329
G012522315 10183 1 0.1267 G001304615 11.04156
G012719175 10183 1 0.1266 G002508545 27.62721015
G012838205 10183 2 0.1267 G002067065 15.09047443
G012840175 10183 0 0.1266 G001507955 6.60131678
G013330315 10183 5 0.1267 G000970285 7.01869516
G013331015 10183 0 0.1266 G002508495 15.96113
G013331265 10183 0 0.1274 G000970285 7.4346841
G013331275 10183 0 0.1266 G000970305 1.86726689
G000286355 10183 2 0.1268 G000786655 22.63731289
G000340945 10183 0 0.1266 G000092985 3.7702
G000715615 10183 4 0.127 G000349325 2.6146362400000003
G000715635 10183 1 0.1267 G001611795 6.684200580000001
G000715685 10183 4 0.1273 G000342125 23.98299
G000720845 10183 0 0.1266 G000158935 3.73175
G000741495 10183 0 0.1266 G000347695 6.00084
G001700545 10183 6 0.1272 G000009765 14.60609074
G001897105 10183 6 0.1271 G000422405 28.42417392
G001897945 10183 3 0.1267 G001262495 28.12065827
G001898325 10183 2 0.1269 G000746195 33.55703363000001
G001898805 10183 0 0.1266 G000469485 1.33042259
G002257455 10183 0 0.1266 G000956505 2.675635
G002336855 10183 3 0.1271 G000980875 32.996282210000004
G002370555 10183 0 0.1266 G001484605 1.80335266
G002456035 10183 2 0.1266 G000633215 1.47288329
G002551355 10183 0 0.1266 G000010605 3.3122800000000003
G003526945 10183 2 0.1266 G001552475 14.29863508
G004000035 10183 2 0.1266 G000328305 23.3826
G004569275 10183 1 0.1267 G000819545 12.99863
G006352045 10183 5 0.1269 G000156435 12.87746
G008123405 10183 1 0.1267 G000785495 29.99178766
G008671995 10183 0 0.1266 G000010425 1.3964149599999998
G009663185 10183 0 0.1266 G000215105 9.94987653
G011174705 10183 2 0.1268 G000826065 37.6773
G011620665 10183 4 0.1268 G001592125 25.51405672
G012517405 10183 5 0.1271 G000413315 53.12718134000001
G012727825 10183 0 0.1268 G000612055 37.9155
G012838755 10183 3 0.1266 G000826085 50.963
G900016675 10183 5 0.127 G001307035 24.97892688
G900078385 10183 0 0.1266 G000746195 4.92905143
G900541895 10183 1 0.1267 G000308055 1.75713266
G900552865 10183 0 0.1266 G900120415 2.23403496
G902373285 10183 0 0.1266 G000011025 5.01262
G902373435 10183 0 0.1266 G000154225 4.03471783
G000183865 10183 2 0.1267 G000619785 2.41384336
G001465115 10183 0 0.1266 G000407165 3.99019
G002417895 10183 0 0.1266 G000178475 1.49213806
G002440555 10183 0 0.1266 G001543285 2.2955496
G002902575 10183 2 0.1268 G000009865 11.84879
G003513765 10183 0 0.1266 G000425845 3.03338894
G003521145 10183 1 0.1267 G000785515 1.70798355
G004556255 10183 0 0.1266 G000056065 1.81339458
G007692455 10183 0 0.1266 G000585255 28.13100954
G012955525 10183 0 0.1266 G000009865 0.5355443099999999
G900539315 10183 0 0.1266 G000160675 4.617990000000001
G000445185 10183 2 0.1268 G000147695 1.12929119
G001312405 10183 1 0.1267 G000732605 6.865065359999999
G001312425 10183 0 0.1266 G000063585 8.12278
G001517445 10183 0 0.1266 G000732605 0.75415762
G001940925 10183 13 0.1276 G003446315 17.03128251
G002297185 10183 0 0.1266 G000434435 20.47631
G002299545 10183 4 0.127 G000436415 32.125699999999995
G002306375 10183 7 0.1266 G000157955 31.3547
G002307215 10183 5 0.1267 G900115365 54.7763
G002308155 10183 2 0.1268 G002297185 38.26101
G002308595 10183 2 0.1268 G001604185 131.79132289999998
G002309375 10183 5 0.127 G000435055 31.4259
G002310155 10183 0 0.1266 G001604165 9.57849516
G002315655 10183 5 0.1268 G001513425 126.53438673
G002351535 10183 3 0.1268 G000431895 40.012
G002358895 10183 3 0.1272 G900539835 18.86182944
G002365025 10183 0 0.1266 G002367105 2.36078
G002367105 10183 0 0.1266 G002365025 2.36078
G002368715 10183 2 0.1267 G002391065 14.25115
G002371375 10183 0 0.1266 G002394605 17.29339425
G002373775 10183 1 0.1267 G012718885 17.70751911
G002387895 10183 0 0.1266 G000300195 1.5756630399999998
G002391065 10183 5 0.1268 G002368715 14.25115
G002394605 10183 0 0.1266 G002371375 17.29339425
G002395405 10183 5 0.1271 G002368735 36.7026
G002409995 10183 0 0.1266 G000160095 22.89851797
G002421335 10183 0 0.1266 G000732605 1.31883412
G002423705 10183 4 0.1269 G000424205 29.03878701
G002439705 10183 3 0.1269 G001512685 78.91380000000001
G002449935 10183 6 0.1272 G001513425 86.8469
G002455655 10183 1 0.1267 G000307265 16.26617592
G002455975 10183 0 0.1266 G000816675 4.56855267
G003446315 10183 9 0.1267 G001940925 17.03128251
G003488415 10183 1 0.1267 G900119535 26.9985829
G003514505 10183 1 0.1266 G900115135 1.6415984099999998
G003526525 10183 0 0.1266 G000018685 4.04371196
G003535195 10183 3 0.1267 G001512555 50.634
G003539755 10183 2 0.1266 G001456065 16.85521
G004554205 10183 6 0.1272 G900538475 22.85337
G004554955 10183 2 0.1266 G000953215 140.87280525
G004556875 10183 0 0.1266 G000518765 6.1653185100000005
G004558485 10183 5 0.1271 G001513365 88.5386
G009738435 10183 2 0.1268 G000204565 31.53494397
G012518255 10183 3 0.1269 G001282685 80.24831289
G012521175 10183 5 0.1269 G001466305 28.02809023
G012718885 10183 1 0.1267 G002373775 17.70751911
G012839395 10183 2 0.1268 G001282665 39.2955
G012840975 10183 0 0.1266 G001513255 22.66067372
G900066505 10183 0 0.1266 G000431355 18.92736
G900066695 10183 0 0.1266 G900086585 6.08095
G900066755 10183 2 0.1268 G900096945 50.3534
G900066835 10183 0 0.1266 G000169255 1.0029218800000002
G900066925 10183 1 0.1267 G001950115 6.67314471
G900538475 10183 4 0.127 G004554205 22.85337
G900539325 10183 6 0.127 G900542875 20.24396
G900539375 10183 1 0.1269 G000424025 34.0247
G900539525 10183 2 0.1269 G000797495 31.12599
G900539705 10183 0 0.1266 G000432475 1.22552985
G900539835 10183 5 0.1271 G002358895 18.86182944
G900539945 10183 0 0.1267 G001916495 11.84873
G900540005 10183 1 0.1267 G000174895 21.47364684
G900540455 10183 0 0.1266 G900539945 18.18631854
G900542875 10183 3 0.127 G900539325 20.24396
G900543315 10183 3 0.1269 G000765215 18.24727988
G900543365 10183 2 0.1268 G900551755 3.8580465
G900543445 10183 7 0.1268 G900549895 4.76604549
G900543485 10183 2 0.1267 G900545775 17.62809065
G900544285 10183 0 0.1266 G000437375 13.85106
G900544475 10183 2 0.1268 G001643385 9.59095
G900544955 10183 3 0.1267 G000469445 26.51958
G900545725 10183 1 0.1266 G900552795 32.9367
G900545775 10183 1 0.1267 G900543485 17.62809065
G900546435 10183 2 0.1267 G900115355 48.0426926
G900548215 10183 1 0.1267 G001916305 6.1698042
G900548315 10183 0 0.1267 G000433295 2.22689552
G900548825 10183 0 0.1267 G900142955 72.30613363
G900549875 10183 0 0.1266 G000154825 3.47130551
G900549895 10183 2 0.1266 G900543445 4.76604549
G900550345 10183 1 0.1266 G000173355 5.126189999999999
G900550755 10183 0 0.1266 G000173815 8.64097325
G900550865 10183 0 0.1266 G001916345 1.7206219699999998
G900550935 10183 0 0.1266 G000156535 15.66634494
G900551225 10183 0 0.1267 G000158075 19.88995943
G900551435 10183 9 0.1267 G000162015 7.0329
G900551465 10183 2 0.1268 G900553515 2.08499107
G900551755 10183 3 0.1268 G900543365 3.8580465
G900552795 10183 2 0.1266 G900545725 32.9367
G900552885 10183 0 0.1266 G000431135 6.28541
G900553015 10183 1 0.1267 G900557045 60.65881428
G900553515 10183 2 0.1268 G900551465 2.08499107
G900553755 10183 0 0.1267 G000434195 32.53590003
G900553865 10183 0 0.1267 G900557045 49.6401
G900554815 10183 1 0.1266 G900553015 69.61146
G900554975 10183 2 0.1267 G000210095 59.66452038
G900555125 10183 1 0.1267 G000435495 97.3148
G900555455 10183 0 0.1266 G000797495 4.31893
G900555465 10183 0 0.1266 G900557315 4.57914379
G900555725 10183 3 0.1269 G000387765 93.87295176
G900556555 10183 2 0.1269 G000156675 21.51443
G900556925 10183 0 0.1266 G000469445 6.670225589999999
G900557045 10183 0 0.1266 G900553865 49.6401
G900557275 10183 2 0.1267 G000469345 37.05393308
G900557315 10183 0 0.1266 G900555465 4.57914379
G900557435 10183 1 0.1266 G000433295 3.39204989
G902406195 10183 0 0.1266 G000466565 4.317209999999999
G000753835 10183 0 0.1266 G001187595 6.29042
G001311865 10183 1 0.1267 G900110685 17.2551361
G001938995 10183 1 0.1267 G001653905 6.08645273
G002067205 10183 2 0.1268 G002067515 31.577400000000004
G002067515 10183 2 0.1267 G002067205 31.577400000000004
G002159075 10183 2 0.1268 G001884825 26.72807902
G002189105 10183 1 0.1266 G000585395 10.85550186
G002305965 10183 5 0.1271 G001512785 60.23628041
G002314325 10183 3 0.1269 G000423385 9.08968
G002365865 10183 2 0.127 G000010565 30.9516262
G002372175 10183 0 0.1267 G900554555 54.23076747
G002373045 10183 1 0.1267 G002448495 2.57124348
G002383405 10183 1 0.1267 G001594015 21.916886500000004
G002397275 10183 3 0.1269 G000946815 25.11665331
G002402575 10183 0 0.1266 G001512785 23.11863
G002434245 10183 0 0.1266 G000271665 2.71613471
G002438345 10183 0 0.1266 G001012825 2.18949451
G002448495 10183 1 0.1267 G002373045 2.57124348
G002455205 10183 1 0.1267 G002973635 3.07922402
G002493395 10183 2 0.1267 G001543345 9.73883
G002973635 10183 1 0.1267 G002455205 3.07922402
G003388715 10183 0 0.1267 G000948185 3.2564730500000003
G003513495 10183 2 0.1268 G000244895 9.26502467
G003523705 10183 0 0.1266 G000155955 1.34959367
G003605065 10183 6 0.1272 G000174415 137.2742
G004143605 10183 4 0.1269 G000215085 21.60493791
G007692495 10183 6 0.1272 G000429725 42.461
G009936195 10183 1 0.1267 G001653905 0.9648929200000002
G011524525 10183 3 0.1268 G000311725 47.3116
G011524565 10183 0 0.1266 G001591585 28.0011
G012735355 10183 0 0.1266 G000284835 19.55425161
G012799495 10183 2 0.1267 G000243155 29.13764454
G012842745 10183 1 0.1267 G000307855 17.19229579
G012961725 10183 5 0.1269 G000024605 57.4545
G900538365 10183 1 0.1267 G000431295 2.5816668700000003
G900538805 10183 0 0.1266 G000242435 4.12982875
G900538925 10183 1 0.1267 G001045675 33.20430645
G900539295 10183 0 0.1266 G000455225 5.0062372
G900540665 10183 1 0.1267 G000173795 1.30349504
G900540685 10183 0 0.1266 G000437715 1.2918570800000002
G900540735 10183 0 0.1268 G001045675 26.482031
G900541915 10183 0 0.1268 G900545025 2.21973745
G900542835 10183 4 0.127 G001611555 22.60381607
G900544275 10183 2 0.1266 G900101645 27.20703739
G900544365 10183 0 0.1266 G000221605 4.145160000000001
G900544885 10183 4 0.1269 G001916865 19.61432068
G900545025 10183 0 0.1268 G900541915 2.21973745
G900545365 10183 3 0.1269 G900103425 54.40985459
G900545535 10183 0 0.1266 G000436295 4.573529539999999
G900547815 10183 0 0.1266 G000156655 2.08871708
G900548635 10183 0 0.1266 G000283495 6.29726115
G900550175 10183 0 0.1266 G900556785 1.577299
G900550455 10183 1 0.1273 G001553335 47.33725225
G900551745 10183 0 0.1266 G000436295 1.5683115399999998
G900552005 10183 0 0.1268 G900541915 10.4724472
G900552445 10183 0 0.1266 G900556785 3.519499
G900552565 10183 0 0.1268 G003523705 8.414612250000001
G900554215 10183 0 0.1266 G000283495 24.42643101
G900554555 10183 1 0.1267 G000186945 2.78029198
G900556785 10183 0 0.1266 G900550175 1.577299
G900556915 10183 0 0.1266 G900547815 2.77386011
G000523715 10183 1 0.1267 G000257745 0.839109
G000715915 10183 0 0.1266 G000194155 8.88560025
G001899645 10183 1 0.1268 G000196675 40.38744333
G002102225 10183 1 0.1267 G001021495 23.29324702
G002331325 10183 4 0.1269 G900541775 1.27265123
G002407785 10183 3 0.1268 G001494635 36.33963
G002407845 10183 1 0.1267 G001192795 42.8074
G002414845 10183 0 0.1267 G000241265 18.82596
G002437815 10183 0 0.1266 G000169035 5.52041258
G002473265 10183 0 0.1266 G000455525 18.41296918
G003243515 10183 0 0.1266 G000023145 2.81988917
G003569145 10183 2 0.1268 G001439355 5.07465
G004193205 10183 0 0.1266 G000298195 2.71805341
G004298145 10183 3 0.1269 G000277125 7.87939364
G009377475 10183 0 0.1266 G000504245 7.734207970000001
G009379765 10183 3 0.1269 G001921215 20.66859789
G009691145 10183 1 0.1267 G000378885 27.96522
G012515855 10183 1 0.1267 G000192435 20.42106694
G012729135 10183 2 0.1268 G001312925 16.250264039999998
G012838985 10183 0 0.1266 G000819445 4.80239436
G013002175 10183 3 0.1268 G000348785 32.29206176
G900170005 10183 0 0.1266 G000210055 8.48837
G900541775 10183 3 0.1269 G002331325 1.27265123
G900550815 10183 0 0.1267 G000169035 0.97112995
G900551665 10183 0 0.1266 G000156175 2.12752217
G900553605 10183 1 0.1267 G000436075 1.48010827
G900555585 10183 1 0.1267 G000225705 19.699060000000003
G900556285 10183 0 0.1268 G000169035 0.8020971
G900556585 10183 0 0.1266 G000435475 11.23530968
G900556675 10183 1 0.1267 G000169035 0.650536
G900618065 10183 0 0.1266 G000143825 4.04585825
G902373375 10183 1 0.1267 G000758945 2.15951521
G902373425 10183 0 0.1266 G000023145 2.9137573
G001312525 10183 2 0.1267 G900556485 18.43175086
G001896575 10183 5 0.1268 G900107785 56.04883713
G001898255 10183 3 0.1267 G001045435 13.86424842
G001898785 10183 0 0.1266 G003248755 6.02554649
G002162835 10183 0 0.1266 G000332115 4.41335761
G002293535 10183 4 0.1269 G900104605 72.85066323
G002296885 10183 1 0.1267 G000757385 26.35781
G002299275 10183 1 0.1268 G002449845 51.3042
G002307035 10183 0 0.1266 G000428125 17.821550000000002
G002353485 10183 1 0.1267 G002363695 17.325910479999997
G002363695 10183 0 0.1266 G002353485 17.325910479999997
G002372235 10183 1 0.1266 G000621725 35.17239
G002382495 10183 2 0.1268 G012837155 19.21136764
G002393705 10183 0 0.1266 G900107705 36.17752231
G002393725 10183 0 0.1269 G900107065 21.94910698
G002399805 10183 0 0.1266 G001705175 2.46618
G002410825 10183 1 0.1267 G900107785 12.700235289999998
G002427885 10183 1 0.1267 G010365115 15.3304302
G002428305 10183 0 0.1266 G000425465 16.32893928
G002434285 10183 0 0.1266 G000333355 5.26637
G002437115 10183 1 0.1268 G900540375 37.21449691
G002439165 10183 0 0.1266 G001295265 2.6146163
G002449845 10183 2 0.127 G002299275 51.3042
G002455915 10183 1 0.1266 G900111495 6.137430570000001
G002471185 10183 1 0.1267 G002471195 15.1521923
G002471195 10183 1 0.1268 G002471185 15.1521923
G002482385 10183 0 0.1266 G900079725 2.73755948
G002483315 10183 0 0.1266 G000686885 6.8417200000000005
G002631855 10183 1 0.1266 G008501705 41.6138
G002684355 10183 2 0.1268 G902526805 25.8868
G003248755 10183 0 0.1266 G000426465 4.29103
G003250325 10183 0 0.1266 G000183135 17.98851751
G003525665 10183 0 0.1266 G000757385 2.47754858
G003639005 10183 0 0.1266 G000318095 37.2543
G003712105 10183 0 0.1266 G000171875 27.19609179
G005792865 10183 4 0.1266 G000422705 37.96400011
G006383075 10183 0 0.1266 G000154725 11.20633907
G007116535 10183 0 0.1266 G001564225 43.77330269
G007117355 10183 5 0.1268 G900116425 42.94290142
G008501705 10183 1 0.1269 G002631855 41.6138
G009774895 10183 1 0.1266 G900542505 28.29877674
G009775605 10183 3 0.1269 G001701115 51.1086
G010365115 10183 3 0.1269 G002427885 15.3304302
G011048475 10183 0 0.1266 G011056635 18.45964126
G011056635 10183 1 0.1267 G011048475 18.45964126
G011620585 10183 1 0.1266 G000626635 25.81963438
G011620695 10183 3 0.1266 G900107785 33.32251268
G012837155 10183 1 0.1267 G002382495 19.21136764
G012964435 10183 0 0.1266 G000423405 1.77128853
G013041805 10183 0 0.1266 G900116115 29.7174
G013042925 10183 0 0.1266 G000382125 8.04901126
G900066445 10183 0 0.1266 G900544075 2.76076929
G900079725 10183 0 0.1266 G000213555 1.49705251
G900538385 10183 0 0.1266 G900548415 2.23043163
G900539755 10183 5 0.1272 G900545315 3.96886237
G900540375 10183 0 0.1266 G000242335 35.64395315
G900541275 10183 0 0.1266 G000375645 6.46853
G900541415 10183 0 0.1267 G900544025 4.85537759
G900541585 10183 0 0.1266 G000210575 2.3047593400000004
G900542505 10183 0 0.1269 G000312145 22.25701562
G900542795 10183 2 0.1268 G900543155 4.11523145
G900543155 10183 2 0.1267 G900542795 4.11523145
G900543425 10183 1 0.1268 G001487125 3.84696789
G900544025 10183 0 0.1267 G900541415 4.85537759
G900544075 10183 0 0.1266 G900066445 2.76076929
G900544175 10183 1 0.1267 G902388455 19.58128053
G900544195 10183 0 0.1266 G000433355 2.5973878600000004
G900545315 10183 5 0.1271 G900539755 3.96886237
G900546005 10183 4 0.1271 G000321205 31.5141
G900546095 10183 1 0.1267 G000187895 15.90048746
G900546355 10183 0 0.1266 G000190575 9.29838
G900546665 10183 6 0.1272 G000436895 26.54869412
G900546675 10183 0 0.1266 G000212375 2.48001
G900548345 10183 1 0.1267 G000436895 20.43458162
G900548415 10183 0 0.1266 G900538385 2.23043163
G900548535 10183 2 0.1266 G000157935 6.45789593
G900548585 10183 3 0.1268 G000585355 60.87529399
G900549585 10183 4 0.1269 G900552415 28.7651
G900550635 10183 1 0.1267 G000585355 89.74654881000001
G900551055 10183 1 0.1267 G900554545 3.95819425
G900552075 10183 0 0.1266 G000187895 5.2698
G900552415 10183 3 0.1267 G000012845 26.46180889
G900552675 10183 2 0.1268 G900553595 32.07998052
G900553595 10183 2 0.1268 G000235885 25.033593770000003
G900553965 10183 4 0.1269 G900107705 47.63863361
G900554545 10183 1 0.1266 G900551055 3.95819425
G900556485 10183 1 0.1267 G001261735 18.12334051
G902388365 10183 4 0.127 G000438035 6.73849719
G902388455 10183 0 0.1267 G900544175 19.58128053
G902388705 10183 1 0.1267 G000265365 9.24306
G902526805 10183 1 0.1272 G002684355 25.8868
