genome count pl_error ratio cond
G008123405 10183.0 1.0 0.1267 Unchunked_Claded
G008501705 10183.0 2.0 0.1268 Unchunked_Claded
G009663185 10183.0 0.0 0.1266 Unchunked_Claded
G009738435 10183.0 2.0 0.1268 Unchunked_Claded
G009936195 10183.0 1.0 0.1267 Unchunked_Claded
G010912745 10183.0 0.0 0.1266 Unchunked_Claded
G011056635 10183.0 0.0 0.1266 Unchunked_Claded
G011174705 10183.0 2.0 0.1268 Unchunked_Claded
G011390935 10183.0 0.0 0.1266 Unchunked_Claded
G012026935 10183.0 5.0 0.1271 Unchunked_Claded
G012269805 10183.0 5.0 0.1271 Unchunked_Claded
G012524135 10183.0 24.0 0.1289 Unchunked_Claded
G012728895 10183.0 6.0 0.1272 Unchunked_Claded
G012837155 10183.0 1.0 0.1267 Unchunked_Claded
G012838205 10183.0 1.0 0.1267 Unchunked_Claded
G012955525 10183.0 0.0 0.1266 Unchunked_Claded
G900016675 10183.0 4.0 0.127 Unchunked_Claded
G900066445 10183.0 0.0 0.1266 Unchunked_Claded
G900066505 10183.0 1.0 0.1267 Unchunked_Claded
G900066695 10183.0 0.0 0.1266 Unchunked_Claded
G900066755 10183.0 2.0 0.1268 Unchunked_Claded
G900066835 10183.0 0.0 0.1266 Unchunked_Claded
G900066925 10183.0 1.0 0.1267 Unchunked_Claded
G900078385 10183.0 0.0 0.1266 Unchunked_Claded
G900079725 10183.0 0.0 0.1266 Unchunked_Claded
G900170005 10183.0 0.0 0.1266 Unchunked_Claded
G900538805 10183.0 0.0 0.1266 Unchunked_Claded
G900539315 10183.0 0.0 0.1266 Unchunked_Claded
G900539325 10183.0 5.0 0.1271 Unchunked_Claded
G900539755 10183.0 10.0 0.1276 Unchunked_Claded
G900539835 10183.0 5.0 0.1271 Unchunked_Claded
G900540375 10183.0 0.0 0.1266 Unchunked_Claded
G900544175 10183.0 1.0 0.1267 Unchunked_Claded
G900544195 10183.0 0.0 0.1266 Unchunked_Claded
G900544795 10183.0 0.0 0.1266 Unchunked_Claded
G900544885 10183.0 1.0 0.1267 Unchunked_Claded
G900545025 10183.0 0.0 0.1266 Unchunked_Claded
G900545365 10183.0 3.0 0.1269 Unchunked_Claded
G900546355 10183.0 0.0 0.1266 Unchunked_Claded
G900548585 10183.0 3.0 0.1269 Unchunked_Claded
G900618065 10183.0 0.0 0.1266 Unchunked_Claded
G902168085 10183.0 0.0 0.1266 Unchunked_Claded
G902388455 10183.0 1.0 0.1267 Unchunked_Claded
G902510995 10183.0 12.0 0.1278 Unchunked_Claded
G902519215 10183.0 0.0 0.1266 Unchunked_Claded
G902519845 10183.0 0.0 0.1266 Unchunked_Claded
G902521955 10183.0 0.0 0.1266 Unchunked_Claded
G902526805 10183.0 1.0 0.1267 Unchunked_Claded
G902527555 10183.0 12.0 0.1278 Unchunked_Claded
G902529115 10183.0 6.0 0.1272 Unchunked_Claded
G902584065 10183.0 7.0 0.1273 Unchunked_Claded
G902605755 10183.0 2.0 0.1268 Unchunked_Claded
G902610815 10183.0 0.0 0.1266 Unchunked_Claded
G902613625 10183.0 1.0 0.1267 Unchunked_Claded
G902619825 10183.0 0.0 0.1266 Unchunked_Claded
G902626505 10183.0 10.0 0.1276 Unchunked_Claded
G000183865 10183.0 2.0 0.1268 Unchunked_Uncladed
G000286355 10183.0 2.0 0.1268 Unchunked_Uncladed
G000340945 10183.0 0.0 0.1266 Unchunked_Uncladed
G000508305 10183.0 3.0 0.1269 Unchunked_Uncladed
G000523715 10183.0 1.0 0.1267 Unchunked_Uncladed
G000690595 10183.0 0.0 0.1266 Unchunked_Uncladed
G000715615 10183.0 4.0 0.127 Unchunked_Uncladed
G000715635 10183.0 1.0 0.1267 Unchunked_Uncladed
G000715685 10183.0 4.0 0.127 Unchunked_Uncladed
G000715915 10183.0 0.0 0.1266 Unchunked_Uncladed
G000720845 10183.0 0.0 0.1266 Unchunked_Uncladed
G000741495 10183.0 0.0 0.1266 Unchunked_Uncladed
G000753835 10183.0 0.0 0.1266 Unchunked_Uncladed
G001311865 10183.0 1.0 0.1267 Unchunked_Uncladed
G001312405 10183.0 1.0 0.1267 Unchunked_Uncladed
G001312425 10183.0 0.0 0.1266 Unchunked_Uncladed
G001312525 10183.0 2.0 0.1268 Unchunked_Uncladed
G001465115 10183.0 0.0 0.1266 Unchunked_Uncladed
G001517445 10183.0 0.0 0.1266 Unchunked_Uncladed
G001622165 10183.0 0.0 0.1266 Unchunked_Uncladed
G001700545 10183.0 6.0 0.1272 Unchunked_Uncladed
G001896575 10183.0 5.0 0.1271 Unchunked_Uncladed
G001938995 10183.0 1.0 0.1267 Unchunked_Uncladed
G002009475 10183.0 0.0 0.1266 Unchunked_Uncladed
G002067065 10183.0 2.0 0.1268 Unchunked_Uncladed
G002102225 10183.0 1.0 0.1267 Unchunked_Uncladed
G002159075 10183.0 2.0 0.1268 Unchunked_Uncladed
G002162835 10183.0 0.0 0.1266 Unchunked_Uncladed
G002167805 10183.0 3.0 0.1269 Unchunked_Uncladed
G002189105 10183.0 1.0 0.1267 Unchunked_Uncladed
G002279095 10183.0 1.0 0.1267 Unchunked_Uncladed
G002336855 10183.0 3.0 0.1269 Unchunked_Uncladed
G002353485 10183.0 1.0 0.1267 Unchunked_Uncladed
G002370555 10183.0 0.0 0.1266 Unchunked_Uncladed
G002372235 10183.0 1.0 0.1267 Unchunked_Uncladed
G002397275 10183.0 3.0 0.1269 Unchunked_Uncladed
G002419365 10183.0 5.0 0.1271 Unchunked_Uncladed
G002434285 10183.0 0.0 0.1266 Unchunked_Uncladed
G002439665 10183.0 2.0 0.1268 Unchunked_Uncladed
G002456035 10183.0 2.0 0.1268 Unchunked_Uncladed
G002498285 10183.0 1.0 0.1267 Unchunked_Uncladed
G002501655 10183.0 0.0 0.1266 Unchunked_Uncladed
G002502735 10183.0 0.0 0.1266 Unchunked_Uncladed
G002502785 10183.0 2.0 0.1268 Unchunked_Uncladed
G002505765 10183.0 0.0 0.1266 Unchunked_Uncladed
G002508545 10183.0 1.0 0.1267 Unchunked_Uncladed
G002551355 10183.0 0.0 0.1266 Unchunked_Uncladed
G002720745 10183.0 5.0 0.1271 Unchunked_Uncladed
G002763895 10183.0 5.0 0.1271 Unchunked_Uncladed
G002855745 10183.0 1.0 0.1267 Unchunked_Uncladed
G002902575 10183.0 2.0 0.1268 Unchunked_Uncladed
G002973635 10183.0 1.0 0.1267 Unchunked_Uncladed
G003050565 10183.0 6.0 0.1272 Unchunked_Uncladed
G003243515 10183.0 0.0 0.1266 Unchunked_Uncladed
G003315655 10183.0 0.0 0.1266 Unchunked_Uncladed
G003315675 10183.0 0.0 0.1266 Unchunked_Uncladed
G003388715 10183.0 0.0 0.1266 Unchunked_Uncladed
G003491305 10183.0 3.0 0.1269 Unchunked_Uncladed
G003569145 10183.0 2.0 0.1268 Unchunked_Uncladed
G003605065 10183.0 6.0 0.1272 Unchunked_Uncladed
G003712105 10183.0 0.0 0.1266 Unchunked_Uncladed
G003712165 10183.0 5.0 0.1271 Unchunked_Uncladed
G003864475 10183.0 3.0 0.1269 Unchunked_Uncladed
G004000035 10183.0 2.0 0.1268 Unchunked_Uncladed
G004143605 10183.0 4.0 0.127 Unchunked_Uncladed
G004193205 10183.0 0.0 0.1266 Unchunked_Uncladed
G004298145 10183.0 3.0 0.1269 Unchunked_Uncladed
G004554205 10183.0 6.0 0.1272 Unchunked_Uncladed
G004569275 10183.0 1.0 0.1267 Unchunked_Uncladed
G005524015 10183.0 0.0 0.1266 Unchunked_Uncladed
G006352045 10183.0 5.0 0.1271 Unchunked_Uncladed
G006383075 10183.0 0.0 0.1266 Unchunked_Uncladed
G008123405 10183.0 1.0 0.1267 Unchunked_Uncladed
G008501705 10183.0 1.0 0.1267 Unchunked_Uncladed
G009663185 10183.0 0.0 0.1266 Unchunked_Uncladed
G009738435 10183.0 2.0 0.1268 Unchunked_Uncladed
G009936195 10183.0 1.0 0.1267 Unchunked_Uncladed
G010912745 10183.0 0.0 0.1266 Unchunked_Uncladed
G011056635 10183.0 1.0 0.1267 Unchunked_Uncladed
G011174705 10183.0 2.0 0.1268 Unchunked_Uncladed
G011390935 10183.0 0.0 0.1266 Unchunked_Uncladed
G012026935 10183.0 6.0 0.1272 Unchunked_Uncladed
G012269805 10183.0 7.0 0.1273 Unchunked_Uncladed
G012524135 10183.0 3.0 0.1269 Unchunked_Uncladed
G012728895 10183.0 6.0 0.1272 Unchunked_Uncladed
G012837155 10183.0 1.0 0.1267 Unchunked_Uncladed
G012838205 10183.0 2.0 0.1268 Unchunked_Uncladed
G012955525 10183.0 0.0 0.1266 Unchunked_Uncladed
G900016675 10183.0 5.0 0.1271 Unchunked_Uncladed
G900066445 10183.0 0.0 0.1266 Unchunked_Uncladed
G900066505 10183.0 0.0 0.1266 Unchunked_Uncladed
G900066695 10183.0 0.0 0.1266 Unchunked_Uncladed
G900066755 10183.0 2.0 0.1268 Unchunked_Uncladed
G900066835 10183.0 0.0 0.1266 Unchunked_Uncladed
G900066925 10183.0 1.0 0.1267 Unchunked_Uncladed
G900078385 10183.0 0.0 0.1266 Unchunked_Uncladed
G900079725 10183.0 0.0 0.1266 Unchunked_Uncladed
G900170005 10183.0 0.0 0.1266 Unchunked_Uncladed
G900538805 10183.0 0.0 0.1266 Unchunked_Uncladed
G900539315 10183.0 0.0 0.1266 Unchunked_Uncladed
G900539325 10183.0 6.0 0.1272 Unchunked_Uncladed
G900539755 10183.0 5.0 0.1271 Unchunked_Uncladed
G900539835 10183.0 5.0 0.1271 Unchunked_Uncladed
G900540375 10183.0 0.0 0.1266 Unchunked_Uncladed
G900544175 10183.0 1.0 0.1267 Unchunked_Uncladed
G900544195 10183.0 0.0 0.1266 Unchunked_Uncladed
G900544795 10183.0 0.0 0.1266 Unchunked_Uncladed
G900544885 10183.0 4.0 0.127 Unchunked_Uncladed
G900545025 10183.0 0.0 0.1266 Unchunked_Uncladed
G900545365 10183.0 3.0 0.1269 Unchunked_Uncladed
G900546355 10183.0 0.0 0.1266 Unchunked_Uncladed
G900548585 10183.0 3.0 0.1269 Unchunked_Uncladed
G900618065 10183.0 0.0 0.1266 Unchunked_Uncladed
G902168085 10183.0 0.0 0.1266 Unchunked_Uncladed
G902388455 10183.0 0.0 0.1266 Unchunked_Uncladed
G902510995 10183.0 1.0 0.1267 Unchunked_Uncladed
G902519215 10183.0 0.0 0.1266 Unchunked_Uncladed
G902519845 10183.0 0.0 0.1266 Unchunked_Uncladed
G902521955 10183.0 0.0 0.1266 Unchunked_Uncladed
G902526805 10183.0 1.0 0.1267 Unchunked_Uncladed
G902527555 10183.0 10.0 0.1276 Unchunked_Uncladed
G902529115 10183.0 1.0 0.1267 Unchunked_Uncladed
G902584065 10183.0 11.0 0.1277 Unchunked_Uncladed
G902605755 10183.0 3.0 0.1269 Unchunked_Uncladed
G902610815 10183.0 0.0 0.1266 Unchunked_Uncladed
G902613625 10183.0 1.0 0.1267 Unchunked_Uncladed
G902619825 10183.0 0.0 0.1266 Unchunked_Uncladed
G902626505 10183.0 8.0 0.1274 Unchunked_Uncladed
